Geography,Gender,Age,Tenure,Balance,HasCrCard,EstimatedSalary,CreditScore,IsActiveMember,NumOfProducts,Churn
France,Male,30.0,5,94443.77,1,165614.4,643,1,1,0
France,Male,37.0,2,0.0,1,86372.24,521,1,2,0
France,Male,32.0,7,92199.84,1,2755.53,615,1,1,0
Spain,Male,43.0,3,0.0,1,83594.51,575,0,1,0
France,Female,41.0,3,135756.96,1,103706.41,717,1,1,0
France,Female,54.0,9,120633.42,0,5924.38,648,0,1,1
Germany,Male,48.0,5,134542.73,1,58203.67,535,1,1,1
Spain,Male,29.0,7,0.0,1,49361.84,626,0,2,0
Spain,Male,52.0,7,0.0,0,73585.18,611,1,1,1
Spain,Male,39.0,6,0.0,1,95135.27,734,1,1,0
France,Male,49.0,4,154344.49,1,38794.57,709,1,2,0
France,Male,43.0,3,0.0,0,198926.36,591,1,2,0
France,Male,43.0,9,189026.53,1,56099.86,664,1,2,0
France,Male,37.0,0,120764.08,1,117023.08,431,1,1,0
Germany,Female,22.0,3,97975.82,0,62083.0,647,1,2,0
France,Male,32.0,4,0.0,1,141822.8,578,1,2,0
Germany,Male,41.0,10,113270.2,1,185387.14,555,1,2,0
Spain,Male,30.0,4,0.0,0,57461.13,775,1,2,0
Germany,Male,39.0,3,124548.99,1,120380.12,850,1,2,0
France,Male,43.0,8,201696.07,1,133020.9,625,0,1,1
Spain,Female,37.0,7,0.0,1,13589.93,645,0,2,0
Germany,Male,44.0,7,114203.47,1,77830.36,608,1,1,1
Spain,Female,31.0,4,0.0,1,136610.02,689,1,2,0
Germany,Male,50.0,8,125437.64,1,17160.94,652,1,1,1
France,Female,26.0,7,0.0,1,176843.53,769,0,2,0
France,Female,43.0,8,64897.75,1,114996.33,611,0,1,0
France,Male,38.0,8,0.0,0,196990.79,489,1,2,0
Germany,Female,46.0,9,135555.66,1,133146.03,528,0,1,1
France,Male,44.0,3,107764.75,1,185667.72,632,0,1,0
France,Female,27.0,6,117307.44,1,24020.49,429,1,2,0
France,Male,41.0,8,73700.12,1,185750.02,457,1,3,1
Spain,Female,44.0,6,60603.4,1,178045.97,768,1,1,0
Spain,Female,35.0,4,40169.88,1,199857.47,715,1,2,0
Germany,Female,32.0,10,92041.87,1,43595.9,668,1,1,0
Germany,Male,26.0,3,130483.95,1,122810.53,625,0,1,0
France,Female,41.0,5,0.0,1,3440.47,846,0,3,1
Spain,Female,42.0,3,0.0,1,35989.41,661,0,2,0
France,Female,23.0,10,151097.28,0,17163.75,571,1,1,0
Spain,Female,46.0,8,67563.31,1,44506.09,582,0,1,1
France,Female,35.0,8,112808.18,0,17848.3,716,1,1,0
France,Female,42.0,7,0.0,0,76209.56,758,1,2,0
France,Male,66.0,4,86459.8,1,141476.56,725,1,1,0
France,Female,40.0,0,118633.08,0,60032.46,630,1,1,1
France,Female,55.0,2,159441.27,1,100686.11,627,0,1,1
France,Female,27.0,9,0.0,1,96429.29,653,0,2,0
Germany,Female,38.0,4,125212.65,1,15795.88,775,1,2,1
Spain,Male,45.0,8,88656.37,1,116547.31,794,0,2,0
France,Female,32.0,2,146033.62,1,191260.74,831,0,1,0
France,Male,29.0,9,120268.13,1,173870.39,561,1,1,0
Spain,Male,46.0,7,0.0,1,117273.35,705,0,2,0
Spain,Female,33.0,0,0.0,1,92277.47,636,0,1,1
Germany,Female,46.0,4,135070.58,1,44244.49,487,1,2,1
France,Female,38.0,3,0.0,0,78133.48,693,0,2,1
Spain,Female,29.0,5,0.0,1,103402.88,517,0,2,0
France,Female,27.0,9,122550.05,0,137835.82,684,1,2,0
Spain,Female,43.0,2,0.0,1,20670.1,620,0,2,0
France,Male,29.0,8,130306.49,1,77469.38,757,0,1,0
France,Female,27.0,6,0.0,1,57572.38,739,1,1,0
Spain,Female,41.0,4,90350.77,1,75884.65,662,0,1,1
France,Female,44.0,6,128747.69,1,146955.71,359,0,1,1
Spain,Male,23.0,2,126873.52,0,67040.12,572,1,1,0
France,Male,69.0,2,108424.19,1,178418.35,721,1,1,0
France,Male,32.0,9,0.0,0,30807.02,707,0,2,0
France,Female,40.0,5,84350.07,1,143835.76,444,0,1,0
France,Female,73.0,7,0.0,0,130883.9,523,0,2,1
Germany,Female,30.0,4,84958.6,0,194343.72,685,1,2,0
Germany,Female,29.0,4,99097.36,1,9796.69,673,1,1,0
Germany,Male,30.0,10,136622.55,0,47310.24,503,0,2,0
Germany,Female,30.0,5,156771.68,1,141148.21,485,1,1,0
Germany,Male,28.0,7,167658.33,1,111138.25,799,1,2,0
Spain,Female,33.0,8,0.0,1,114182.07,585,0,2,0
Germany,Female,24.0,2,109483.54,0,127560.77,607,1,2,0
Germany,Female,40.0,9,134504.78,1,18082.06,521,0,1,0
France,Female,44.0,2,114427.86,1,136330.26,535,1,1,0
Spain,Male,45.0,5,83888.54,0,34121.81,724,1,1,0
Germany,Male,32.0,5,110029.77,1,56246.69,520,0,1,0
Spain,Male,41.0,9,127523.75,0,191417.42,696,1,1,0
Germany,Male,30.0,1,139762.13,1,23317.88,657,1,2,0
Spain,Female,42.0,8,91611.12,0,144675.3,603,0,1,1
France,Female,42.0,2,109471.79,0,175161.05,726,1,1,0
France,Female,39.0,4,150500.64,1,14928.8,591,0,1,0
Germany,Female,59.0,9,101609.77,0,161479.19,792,0,1,1
France,Male,57.0,5,0.0,1,133501.94,550,1,1,0
France,Female,26.0,8,78892.23,1,23703.52,601,1,1,0
France,Female,29.0,3,82344.84,0,115985.38,820,1,1,0
France,Male,48.0,2,0.0,1,43229.2,667,0,1,0
Spain,Female,44.0,4,0.0,1,94862.93,573,1,1,0
France,Male,62.0,1,127706.33,0,142377.69,755,1,2,0
France,Female,41.0,9,124349.34,1,135635.25,552,0,1,0
Spain,Male,44.0,8,0.0,1,148487.9,598,0,2,0
Germany,Male,28.0,1,119336.29,0,58976.85,576,1,2,0
France,Female,31.0,9,0.0,0,76254.83,670,1,1,0
Germany,Male,56.0,9,104217.3,0,55857.48,504,0,1,1
France,Female,65.0,7,0.0,1,77867.23,778,1,1,0
Germany,Male,39.0,10,144757.02,1,22878.16,558,0,1,1
Spain,Male,44.0,6,0.0,1,114469.55,627,1,1,0
France,Male,43.0,8,0.0,1,96754.8,683,0,1,0
France,Female,43.0,6,0.0,0,125154.57,556,0,3,1
France,Female,38.0,10,0.0,0,113597.64,583,1,2,0
France,Female,24.0,7,100169.51,1,121408.55,705,0,1,0
France,Male,33.0,2,145731.83,0,109219.43,637,1,1,0
Spain,Male,56.0,5,110802.03,1,50230.31,697,1,1,1
Germany,Female,46.0,4,120392.99,1,177719.88,555,0,1,1
Germany,Female,26.0,6,135067.52,0,131211.86,594,0,2,0
Spain,Male,31.0,3,136556.44,1,82152.83,632,0,1,1
France,Female,38.0,10,0.0,1,216.27,551,1,2,0
France,Female,35.0,3,99587.43,1,1713.1,687,1,1,1
France,Female,53.0,7,0.0,1,136910.18,672,1,1,0
Spain,Female,34.0,7,70731.07,1,20243.97,521,1,1,1
Germany,Male,35.0,2,109342.82,0,86043.27,686,1,2,0
Spain,Male,28.0,8,0.0,1,126561.07,639,0,2,0
France,Male,66.0,4,0.0,0,64350.8,850,1,2,0
France,Male,25.0,2,78247.31,1,10472.31,465,1,2,0
France,Female,55.0,10,117561.49,1,95941.55,817,0,1,1
France,Male,23.0,10,88980.32,1,125222.36,578,1,1,0
Spain,Male,34.0,4,0.0,1,170950.58,611,0,2,0
Germany,Female,41.0,1,103560.57,1,236.45,616,0,1,1
France,Male,37.0,5,113308.84,0,31517.16,517,1,1,0
Spain,Female,40.0,6,0.0,1,181610.6,637,1,2,0
France,Female,32.0,3,63763.49,1,156593.09,806,0,1,0
France,Female,29.0,7,169988.35,1,4272.0,633,0,1,0
Germany,Female,35.0,0,180303.24,1,163587.9,624,0,2,0
France,Male,52.0,3,0.0,1,175843.68,691,0,1,1
Germany,Female,49.0,1,120656.86,0,166164.3,819,0,4,1
Germany,Female,31.0,1,61592.14,1,61796.64,568,1,2,0
France,Male,48.0,4,164701.68,1,21439.49,806,1,1,0
Spain,Female,26.0,1,80780.16,1,19225.85,726,1,1,0
France,Male,36.0,8,0.0,0,132547.02,552,0,2,0
Germany,Female,30.0,6,154221.37,0,62688.55,755,1,2,0
France,Male,26.0,8,0.0,1,21760.96,634,0,1,0
France,Female,26.0,5,101641.14,0,154460.68,756,1,2,0
France,Male,37.0,2,0.0,0,8065.0,776,1,1,0
France,Female,45.0,5,92786.66,1,173365.9,649,0,1,1
Germany,Male,32.0,8,131081.66,1,69428.79,595,1,2,0
France,Male,30.0,5,98014.74,1,12757.14,646,1,1,0
Spain,Male,38.0,8,0.0,1,180426.2,592,0,2,0
France,Male,26.0,8,97460.1,1,43093.67,574,1,1,0
France,Male,36.0,1,104077.19,0,68594.0,850,1,2,0
Spain,Female,29.0,1,0.0,1,197996.65,850,1,2,0
France,Female,46.0,10,0.0,0,122953.0,475,0,2,1
France,Female,39.0,4,0.0,1,76821.24,642,1,1,0
Spain,Female,51.0,4,93656.95,0,141400.51,710,1,1,1
Spain,Male,30.0,6,121345.88,1,41921.75,596,0,4,1
France,Female,39.0,8,141675.23,0,175664.25,609,1,1,0
Spain,Female,31.0,8,0.0,1,117916.63,797,0,2,0
Germany,Female,43.0,7,102365.49,1,194690.77,504,0,1,1
Spain,Male,50.0,9,0.0,0,166677.35,735,0,1,1
Spain,Female,30.0,3,0.0,1,160131.58,680,0,1,0
France,Male,52.0,6,0.0,0,123622.0,449,1,2,0
Germany,Male,57.0,7,101868.51,0,113483.96,685,1,1,0
Spain,Male,38.0,8,0.0,0,79618.79,569,0,2,0
France,Male,35.0,9,112392.45,1,24472.23,631,0,2,0
Germany,Female,25.0,7,106570.34,0,177025.79,595,1,2,0
France,Female,28.0,8,0.0,1,103349.74,461,1,1,0
France,Male,50.0,1,81947.76,0,63606.22,630,1,1,1
France,Female,31.0,7,144162.3,1,14490.79,661,1,2,0
Germany,Male,39.0,5,86350.87,0,105080.53,796,0,2,0
France,Male,47.0,5,158623.14,0,83499.89,710,0,1,1
France,Male,32.0,8,0.0,1,143598.7,741,0,2,0
Germany,Male,48.0,4,132403.56,0,36091.91,606,0,1,1
France,Male,27.0,10,0.0,0,13007.89,747,0,2,0
Germany,Female,43.0,3,134985.66,1,6101.41,549,0,1,0
France,Male,36.0,6,0.0,1,48314.0,576,1,2,0
France,Male,37.0,6,103772.45,1,197111.99,528,0,1,0
France,Male,33.0,2,133040.32,1,110299.78,535,1,1,0
Spain,Female,37.0,0,0.0,0,30114.32,575,0,2,0
France,Male,39.0,10,0.0,1,98894.64,656,1,2,0
France,Male,42.0,2,0.0,1,49826.68,440,0,2,0
Spain,Male,38.0,8,71460.67,1,10074.05,539,1,2,0
Spain,Male,39.0,6,133214.13,0,20769.88,850,1,1,0
France,Female,37.0,7,96558.66,0,163427.18,646,0,1,0
France,Male,54.0,6,93806.31,0,140068.77,744,1,2,0
Spain,Female,36.0,8,0.0,0,83206.19,710,0,2,0
France,Female,64.0,3,124043.8,1,111402.97,544,1,1,1
Germany,Male,52.0,5,131694.97,0,92873.5,723,1,1,1
Spain,Female,29.0,6,0.0,0,94780.9,507,1,2,0
France,Female,35.0,1,106266.8,1,16607.15,787,1,1,0
Spain,Male,41.0,8,0.0,1,161954.43,598,1,2,0
France,Male,51.0,6,0.0,0,194733.28,796,1,2,0
Spain,Female,41.0,4,139840.36,1,163524.7,569,1,1,0
France,Male,34.0,8,0.0,0,48260.19,711,0,2,0
Germany,Male,35.0,8,124098.54,1,86678.48,661,0,1,0
France,Male,32.0,5,145807.59,1,3064.65,415,1,1,0
Spain,Male,23.0,8,0.0,1,112124.98,578,0,2,0
France,Female,26.0,2,107508.93,1,120801.65,611,1,2,0
France,Female,28.0,6,0.0,0,52193.23,600,1,2,0
Germany,Female,32.0,1,145980.23,0,56636.28,661,1,1,0
France,Female,37.0,3,212778.2,0,69372.88,850,1,1,0
Germany,Female,47.0,4,152522.47,0,164038.07,573,1,1,1
Spain,Female,33.0,9,168964.77,0,118982.51,764,1,1,0
France,Female,34.0,8,0.0,1,27472.07,838,0,2,0
France,Female,28.0,8,0.0,1,36754.13,821,1,1,0
Spain,Female,36.0,4,98266.3,1,46416.36,607,1,1,0
France,Male,38.0,8,113000.92,1,152872.39,558,1,1,0
Germany,Male,23.0,1,137060.88,1,165227.23,530,1,2,0
Germany,Male,37.0,5,112146.12,1,75927.35,654,0,1,0
France,Female,33.0,4,129307.32,1,172930.28,530,1,1,0
Spain,Male,69.0,6,163975.09,1,36108.5,656,1,1,0
Spain,Male,43.0,7,0.0,1,36202.74,520,1,2,0
Germany,Female,42.0,6,158414.85,1,131886.46,602,1,1,0
Germany,Female,48.0,1,92072.68,1,133992.36,701,1,1,0
Spain,Female,30.0,2,88243.29,1,96658.26,653,1,2,0
Spain,Male,25.0,8,0.0,1,135112.09,668,1,2,0
France,Male,48.0,4,59486.31,1,163944.18,652,0,1,1
Spain,Female,54.0,2,0.0,1,53843.71,639,1,2,0
Spain,Female,52.0,7,0.0,0,122398.84,730,1,2,0
France,Male,34.0,1,0.0,1,64804.04,780,1,1,0
France,Female,38.0,8,119278.01,0,19370.73,592,1,2,0
France,Male,34.0,4,158741.43,1,126192.54,628,1,2,0
France,Female,40.0,7,140596.95,0,135459.02,658,1,1,1
Spain,Female,29.0,10,0.0,1,94815.04,850,1,2,0
Germany,Male,37.0,2,90432.92,1,188366.04,515,1,1,1
France,Female,35.0,1,104783.81,0,178512.52,571,1,2,0
Germany,Male,42.0,0,77992.97,1,97906.38,760,1,2,0
Germany,Female,43.0,10,110822.9,0,72861.94,720,0,1,0
Germany,Male,42.0,4,119624.6,1,195978.86,632,1,2,0
Germany,Male,31.0,6,109052.59,1,19448.93,694,1,2,1
Spain,Female,40.0,5,139129.44,0,32635.54,559,1,1,0
Germany,Female,42.0,8,152324.66,1,171733.22,773,0,2,0
France,Male,38.0,1,0.0,1,46176.22,581,0,2,0
Germany,Female,37.0,9,127480.58,1,179634.69,524,0,2,0
France,Male,53.0,6,115029.4,0,191521.32,713,0,1,1
France,Male,40.0,8,114005.78,1,67998.45,676,1,1,0
Germany,Female,42.0,1,116646.76,1,44731.8,651,0,1,1
Spain,Female,49.0,1,110864.38,1,124532.9,717,1,2,1
France,Male,23.0,5,156267.59,1,160968.44,594,0,1,0
France,Female,44.0,3,109528.28,1,27341.63,716,0,1,1
France,Female,35.0,6,102482.76,1,53994.64,668,1,1,0
Germany,Male,23.0,10,115563.71,1,91633.53,678,1,1,0
France,Male,23.0,2,0.0,1,189613.12,545,0,2,0
France,Female,40.0,9,95624.36,1,60706.33,613,1,2,0
Spain,Female,21.0,8,0.0,1,154767.34,687,1,2,0
France,Male,28.0,7,160376.61,0,196853.11,715,0,1,0
Germany,Male,41.0,8,37702.79,1,195775.48,618,1,1,0
France,Female,35.0,6,118273.83,0,3086.89,721,1,1,0
Germany,Female,34.0,7,131082.17,1,70618.0,445,1,2,0
France,Male,38.0,1,94456.0,0,55034.02,690,1,2,0
France,Female,43.0,8,0.0,0,168035.62,709,0,2,1
Spain,Female,42.0,3,0.0,1,128449.33,671,1,2,0
France,Male,33.0,6,93791.38,1,199249.29,538,1,1,0
France,Female,33.0,4,0.0,1,149474.69,735,0,2,0
France,Female,37.0,7,0.0,1,126726.33,592,1,2,0
France,Male,61.0,7,155973.13,0,147554.26,747,1,1,0
Germany,Male,36.0,7,89409.95,1,149399.7,675,1,1,0
Spain,Female,39.0,5,97854.37,1,93536.38,632,0,2,0
France,Male,39.0,6,0.0,1,58883.91,621,1,2,0
Spain,Male,29.0,3,60280.62,1,154271.41,521,0,1,0
Spain,Male,36.0,7,135216.8,1,122022.89,591,1,1,0
Germany,Female,28.0,6,124923.35,1,50299.14,706,1,2,0
France,Male,38.0,4,0.0,1,187800.63,677,0,2,0
Germany,Male,27.0,7,188614.07,1,171344.09,769,0,1,0
France,Male,32.0,5,62321.62,1,40920.59,771,1,1,0
Germany,Female,48.0,8,120782.7,1,63940.68,601,0,1,1
France,Female,42.0,1,115961.58,0,29483.87,670,1,2,0
France,Male,28.0,2,115062.61,1,179056.23,517,0,1,0
France,Female,49.0,8,160602.25,1,129273.94,834,0,2,0
France,Female,42.0,4,108825.34,1,55558.51,571,0,3,1
Germany,Female,36.0,8,166287.85,1,23305.85,576,1,1,0
France,Female,31.0,1,152663.77,0,17128.64,718,1,1,0
Germany,Female,31.0,9,80844.69,1,74641.9,636,1,2,0
Germany,Female,40.0,2,97001.36,1,154486.01,566,0,2,0
France,Male,64.0,4,0.0,1,3185.67,711,1,2,0
France,Female,39.0,2,122524.61,1,88463.63,574,0,2,0
France,Female,35.0,8,132292.63,1,65682.93,619,0,1,0
France,Female,24.0,0,0.0,1,140586.08,588,1,2,0
Germany,Female,49.0,9,91502.99,1,117232.9,760,0,1,1
France,Male,52.0,3,0.0,1,116137.01,665,0,1,1
Germany,Male,29.0,3,59385.98,1,105533.96,739,1,2,0
France,Male,77.0,9,0.0,1,81514.06,641,1,3,0
Germany,Female,21.0,6,97956.5,1,164966.27,685,1,1,0
France,Female,49.0,4,0.0,1,23631.55,594,1,2,0
Spain,Female,40.0,4,0.0,0,105433.53,557,1,2,0
France,Male,27.0,8,141223.68,1,90591.15,697,0,2,0
France,Male,18.0,10,151762.74,0,127014.32,656,1,1,0
Germany,Male,43.0,1,141749.74,0,90905.26,712,1,2,0
Spain,Male,38.0,5,75075.14,1,8651.92,689,1,1,1
France,Female,25.0,4,165686.11,1,15467.98,697,0,2,0
France,Male,38.0,2,0.0,1,79915.28,589,0,1,0
Spain,Female,25.0,10,0.0,1,69361.95,525,0,2,0
France,Male,44.0,3,0.0,1,86935.08,680,0,2,0
France,Female,28.0,0,0.0,1,7597.83,617,1,2,1
France,Male,32.0,5,92961.61,1,116957.6,680,0,1,0
Spain,Female,30.0,9,0.0,0,157884.83,662,1,2,0
Germany,Male,46.0,5,130812.91,1,77981.54,736,1,1,1
Germany,Male,57.0,8,107174.58,1,126369.55,657,1,1,1
Spain,Male,54.0,1,152677.48,1,191973.49,350,1,1,1
France,Male,30.0,3,132005.77,1,142940.39,617,0,1,0
France,Male,35.0,7,0.0,0,48869.67,562,0,1,0
Spain,Female,23.0,5,0.0,1,73131.73,705,1,2,0
France,Female,33.0,7,127305.5,1,120037.36,516,1,1,0
France,Female,37.0,6,0.0,1,193995.37,573,0,2,0
Spain,Female,31.0,0,0.0,0,179453.66,538,0,2,0
France,Male,39.0,9,0.0,1,80963.92,699,0,1,0
Germany,Male,32.0,8,170291.22,0,15658.99,504,1,2,0
Spain,Male,47.0,5,102562.23,1,92708.1,583,0,1,0
Spain,Male,53.0,2,111061.01,0,26542.17,712,0,2,0
Spain,Male,62.0,3,0.0,1,65010.74,626,1,1,0
France,Female,34.0,4,124379.14,1,106892.91,631,0,1,0
France,Female,37.0,7,0.0,1,185210.63,663,1,1,0
Germany,Female,41.0,3,57745.76,1,4035.46,506,0,1,0
Germany,Female,50.0,5,129293.74,1,177805.44,570,0,1,1
France,Female,45.0,7,0.0,1,68831.72,703,1,2,0
Germany,Female,40.0,8,150777.1,1,114732.62,698,0,1,0
Spain,Male,41.0,4,0.0,1,22299.27,731,0,2,0
France,Male,34.0,6,0.0,0,197283.2,625,0,2,0
Spain,Male,31.0,9,108632.48,1,179485.96,634,1,1,1
France,Male,59.0,5,153861.1,1,17699.48,616,1,1,0
France,Male,56.0,1,100374.58,1,118490.8,500,0,1,1
France,Male,32.0,8,0.0,0,133292.94,446,0,2,0
France,Female,47.0,9,61196.54,1,58170.24,669,0,1,0
Germany,Male,31.0,6,116891.72,1,107137.3,581,0,1,0
Germany,Female,54.0,6,133656.91,1,145071.33,704,0,3,1
France,Male,44.0,2,92911.52,0,85495.24,748,1,1,0
Spain,Female,31.0,9,119825.75,1,101139.3,680,1,2,0
France,Female,37.0,7,111852.84,1,10511.13,655,0,2,0
Germany,Male,32.0,0,106683.52,1,137916.49,690,1,2,0
Germany,Male,40.0,7,139022.24,0,193383.13,695,1,1,0
Germany,Female,40.0,4,148571.07,1,189826.96,700,0,1,1
France,Male,52.0,4,0.0,0,144113.42,773,1,1,0
France,Male,42.0,1,129776.72,0,143538.51,749,1,2,0
France,Female,46.0,5,0.0,1,77677.14,611,0,1,1
Spain,Female,46.0,8,0.0,1,183717.94,606,1,2,0
France,Male,24.0,10,0.0,0,92180.62,554,0,1,0
France,Female,37.0,7,0.0,1,28690.9,567,1,2,0
Spain,Male,24.0,3,114739.92,1,85891.02,559,0,1,1
Germany,Male,41.0,2,122545.65,1,42050.24,594,1,2,0
France,Female,37.0,6,0.0,1,110142.34,513,0,2,0
Germany,Female,26.0,1,131908.35,1,179269.79,652,1,1,0
Germany,Female,42.0,7,105722.69,1,90558.24,680,1,1,1
Spain,Male,33.0,10,0.0,1,162022.47,784,0,2,0
Spain,Female,44.0,8,0.0,1,66926.83,812,0,3,1
Spain,Female,40.0,8,0.0,1,108891.3,784,0,2,0
France,Female,18.0,4,82767.42,1,71811.9,570,0,1,0
France,Female,42.0,1,87842.98,0,92223.59,712,0,1,0
Spain,Male,39.0,6,133261.13,1,78065.9,705,1,1,0
Spain,Female,32.0,3,0.0,1,59679.9,681,1,2,0
France,Male,41.0,0,97925.11,1,85000.32,620,0,1,0
France,Male,52.0,5,0.0,1,159808.95,711,1,1,0
France,Female,24.0,7,140453.91,1,129001.3,613,0,1,0
Germany,Female,20.0,0,117356.19,0,113557.7,613,0,1,1
Spain,Male,36.0,5,0.0,1,147758.51,682,1,2,0
Spain,Male,37.0,4,137204.77,1,28865.59,850,1,1,0
France,Female,41.0,1,0.0,0,160607.06,601,1,2,0
Spain,Male,35.0,8,0.0,1,100015.79,595,0,1,1
Spain,Male,36.0,3,54098.18,0,54478.52,675,1,2,0
Spain,Male,31.0,8,0.0,1,141677.33,591,1,1,0
France,Male,23.0,7,113758.48,0,84077.6,602,0,2,0
Spain,Female,34.0,8,0.0,0,106981.03,554,1,1,0
France,Male,37.0,9,118636.92,1,73551.44,541,1,1,0
France,Male,34.0,7,0.0,0,115842.1,506,0,2,0
Germany,Male,44.0,8,95488.82,0,107013.59,814,0,2,0
France,Male,30.0,8,110829.52,0,24938.84,683,0,2,0
Germany,Male,51.0,7,144244.59,1,51113.14,485,0,2,0
Germany,Female,31.0,8,122021.92,1,33828.64,696,0,2,0
France,Female,30.0,8,0.0,1,128875.86,608,0,2,0
France,Male,50.0,9,0.0,1,194700.81,792,1,4,1
Spain,Male,22.0,5,0.0,1,158974.45,686,0,2,0
Germany,Male,42.0,1,85839.62,1,198182.73,790,0,1,0
France,Female,29.0,4,96974.97,0,141404.07,654,1,1,0
France,Male,35.0,4,148172.44,1,4175.68,452,1,1,0
Spain,Male,38.0,0,0.0,1,126876.47,719,0,1,0
France,Female,40.0,5,0.0,1,41052.82,707,0,2,0
France,Female,49.0,2,0.0,0,105760.01,699,0,1,0
Spain,Male,30.0,2,0.0,0,27937.12,850,1,2,0
Spain,Male,28.0,8,134766.85,1,79355.87,828,0,1,0
Germany,Male,30.0,5,123210.56,1,102180.27,850,1,2,0
Spain,Male,47.0,1,139887.01,1,95719.73,712,1,1,0
France,Male,44.0,9,149961.11,1,57121.51,634,0,1,0
Germany,Male,45.0,6,152880.97,0,162478.11,730,0,1,0
Germany,Male,43.0,9,108589.47,0,194808.51,685,1,2,0
Spain,Male,33.0,9,0.0,1,124045.65,809,1,1,0
Spain,Female,35.0,3,56674.48,1,17987.4,707,0,1,1
Spain,Male,32.0,8,0.0,1,133653.38,648,0,1,0
Spain,Female,57.0,1,0.0,1,25101.17,760,1,2,0
Germany,Female,33.0,3,105663.56,0,33330.89,805,1,2,0
France,Female,39.0,7,0.0,1,2401.26,585,0,2,0
Spain,Female,30.0,5,100683.54,1,178361.04,595,1,1,0
France,Male,42.0,6,0.0,1,162697.93,630,0,2,0
Germany,Male,29.0,5,139541.58,1,80607.33,627,0,2,0
Germany,Female,37.0,2,121801.72,0,23146.62,631,1,2,0
Germany,Male,38.0,5,112281.7,0,89893.6,776,1,1,0
Spain,Female,36.0,4,0.0,1,3173.31,676,1,2,0
Spain,Female,40.0,5,93499.82,0,123218.81,758,0,2,0
France,Male,33.0,0,132255.99,0,74588.41,637,1,2,0
France,Male,20.0,7,0.0,1,31288.77,850,0,2,0
Spain,Female,44.0,4,0.0,1,58561.31,601,0,2,0
France,Male,49.0,5,121973.28,1,148804.36,735,0,1,0
Germany,Male,32.0,7,99462.8,1,51117.06,614,1,2,0
Germany,Female,21.0,3,165878.76,1,164537.17,672,1,2,0
France,Male,30.0,8,117494.27,0,61977.82,642,0,1,0
Germany,Female,29.0,0,138577.34,1,193362.99,633,0,1,0
Spain,Male,39.0,9,0.0,1,47722.79,769,1,1,0
Spain,Male,41.0,8,107525.07,1,18510.41,796,0,1,0
France,Male,23.0,7,139224.92,1,65057.71,715,0,2,0
France,Female,42.0,7,121453.63,0,46374.64,695,0,1,0
France,Female,25.0,4,0.0,0,42039.67,747,1,2,0
Germany,Female,54.0,1,77354.37,0,138192.98,584,0,1,1
France,Male,40.0,6,0.0,1,22735.45,476,1,1,0
France,Female,39.0,7,79259.99,0,186910.74,850,1,1,0
France,Male,30.0,2,116295.29,1,75285.47,529,0,1,0
Spain,Female,59.0,1,0.0,0,130260.11,584,1,1,1
Germany,Male,34.0,9,74309.81,1,15034.93,586,0,1,0
Germany,Male,34.0,2,152797.9,1,175709.4,674,0,1,1
France,Male,42.0,9,133701.07,1,101069.71,552,0,2,1
Germany,Female,33.0,7,114430.18,1,153012.13,601,1,2,0
France,Male,29.0,7,127504.57,0,86173.92,541,0,1,0
Germany,Female,41.0,2,84113.41,1,197548.63,744,0,1,0
Spain,Female,23.0,10,101126.66,0,37042.8,595,0,2,0
Germany,Male,33.0,5,103564.83,1,121085.72,724,0,2,0
Spain,Female,52.0,7,0.0,0,194113.99,533,1,1,1
France,Male,37.0,2,168178.21,0,101273.23,618,1,2,0
Germany,Female,39.0,1,143903.11,1,118711.75,523,1,1,1
Germany,Female,30.0,5,129753.69,1,582.53,642,0,1,0
France,Male,35.0,9,0.0,1,192381.21,584,0,2,0
France,Male,38.0,5,110641.18,0,136507.69,521,1,1,1
France,Female,36.0,4,166909.2,1,138871.12,662,0,2,1
France,Female,34.0,1,154139.45,1,60728.89,758,1,1,0
France,Male,38.0,7,97459.06,0,189175.71,717,0,1,0
France,Male,40.0,1,0.0,1,102547.56,611,1,2,0
Germany,Male,43.0,6,112088.04,1,36706.56,766,1,2,0
France,Female,34.0,3,0.0,1,44756.25,636,1,2,0
France,Female,48.0,7,0.0,1,132870.15,814,1,2,0
Spain,Male,28.0,1,141038.57,0,16287.38,760,0,2,0
Germany,Male,39.0,2,84468.67,1,121945.42,607,1,2,0
Spain,Female,36.0,4,118520.26,0,131173.9,725,0,1,1
France,Male,37.0,1,142663.46,0,88669.89,600,1,1,0
Germany,Male,27.0,4,118627.16,1,160835.3,656,1,2,0
Spain,Male,34.0,1,137523.02,0,24761.36,640,0,1,0
France,Male,28.0,7,110976.23,1,138526.96,439,0,2,0
France,Female,38.0,8,107283.4,0,157442.75,549,0,1,0
France,Male,38.0,5,0.0,0,105295.77,622,0,2,0
France,Male,34.0,4,124314.45,0,97782.92,715,0,1,0
France,Female,41.0,5,95858.37,1,68255.88,657,1,1,0
France,Male,36.0,2,0.0,1,108790.95,703,0,2,0
France,Male,33.0,8,0.0,1,143706.18,802,0,2,0
Spain,Female,36.0,0,0.0,0,148993.47,793,0,1,0
France,Female,35.0,6,117707.18,0,95277.15,554,0,2,1
Spain,Male,38.0,1,135289.33,0,152956.33,533,1,2,0
France,Male,36.0,8,174060.46,1,94925.62,658,1,1,0
Germany,Male,40.0,3,114446.84,1,87308.18,713,1,2,0
