age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,270842,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Self-emp-not-inc,373606,Some-college,10,Divorced,Sales,Unmarried,White,Male,0,0,65,United-States,>50K
37,Private,189878,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
50,Private,270194,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
28,Private,147889,10th,6,Married-AF-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
20,Private,235691,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
41,Private,163847,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,>50K
24,Private,183594,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K
34,Federal-gov,341051,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
38,Private,105803,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
37,Private,108913,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,101214,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,44,United-States,>50K
42,Private,336643,Assoc-voc,11,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
30,State-gov,290677,Masters,14,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States,<=50K
30,Private,175878,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,>50K
31,Self-emp-not-inc,204052,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
48,Private,123075,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
43,Self-emp-inc,188436,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,<=50K
37,Private,112838,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
61,Self-emp-not-inc,113080,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,58,United-States,>50K
34,Private,56026,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
29,Self-emp-not-inc,58744,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,0,0,60,United-States,<=50K
69,Self-emp-not-inc,104003,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
39,Private,171524,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Columbia,<=50K
44,Private,248406,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
21,Private,138513,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,25,United-States,<=50K
61,Private,170262,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,38,United-States,>50K
37,Private,211494,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1980,55,United-States,<=50K
56,Local-gov,137078,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,142924,Bachelors,13,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Private,235826,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,<=50K
51,Private,673764,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
46,Self-emp-inc,214627,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
36,Private,349534,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,31,United-States,>50K
55,Private,199856,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,50,United-States,<=50K
24,State-gov,292816,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
33,Local-gov,83671,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,50,United-States,<=50K
29,State-gov,147256,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,>50K
40,Local-gov,319271,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
20,Private,386864,10th,6,Never-married,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K
45,Local-gov,167159,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K
33,Private,122749,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
28,Private,27956,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,99,Philippines,<=50K
40,Private,222434,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,Canada,>50K
34,Private,99872,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,3103,0,40,India,>50K
60,Federal-gov,38749,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,60,Philippines,>50K
39,State-gov,99156,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
30,Local-gov,247328,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,5178,0,40,Puerto-Rico,>50K
29,Private,160264,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
47,Private,33794,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K
46,State-gov,56841,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
59,Local-gov,221417,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
50,Self-emp-inc,140516,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
44,Self-emp-not-inc,234885,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
47,Private,165517,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
41,Private,288568,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,399601,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
41,Private,101739,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
49,Self-emp-not-inc,182752,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,>50K
39,Self-emp-not-inc,343476,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,Japan,>50K
45,Private,272729,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,218068,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,23,United-States,<=50K
37,Private,359591,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,Self-emp-not-inc,390746,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
50,Private,398625,11th,7,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,218322,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
53,Private,20438,Some-college,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,15,United-States,<=50K
31,Federal-gov,103651,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
34,Private,162113,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,>50K
43,Private,193672,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,107373,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
67,Self-emp-not-inc,195066,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
52,Local-gov,194788,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,4787,0,60,United-States,>50K
33,Private,207201,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,United-States,>50K
31,Private,113364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
30,Private,206051,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
47,Self-emp-not-inc,158451,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
25,Private,242136,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
50,Private,23686,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,35,United-States,>50K
33,Private,143851,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,127610,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,32,United-States,>50K
41,Private,185267,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,163665,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2174,0,40,United-States,<=50K
48,Private,173243,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
53,Private,27166,HS-grad,9,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,10520,0,40,United-States,>50K
39,Private,134367,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K
53,State-gov,231472,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
50,Private,258819,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
50,Private,148431,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
41,State-gov,244522,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,55,United-States,<=50K
27,Private,373499,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,60,El-Salvador,<=50K
30,Private,104223,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,32,United-States,<=50K
59,Local-gov,130532,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,40,Poland,<=50K
46,Private,153328,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K
20,State-gov,205895,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
35,Private,238980,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,324019,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,209900,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,20,United-States,<=50K
18,Private,109702,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
37,Private,161141,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
21,Private,50411,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,240517,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,70,United-States,<=50K
35,Private,243357,11th,7,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
52,Self-emp-not-inc,194791,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Self-emp-not-inc,247088,HS-grad,9,Separated,Craft-repair,Own-child,Black,Male,0,0,50,United-States,<=50K
23,Private,189830,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,United-States,<=50K
21,Private,188923,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
29,Private,160512,HS-grad,9,Separated,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
22,Private,228452,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
55,Private,176012,9th,5,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,23,United-States,<=50K
29,Private,152951,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
27,Self-emp-not-inc,301514,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
23,Private,362623,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,1573,30,Mexico,<=50K
44,Private,201495,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States,>50K
52,Local-gov,137753,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,20,United-States,<=50K
27,Self-emp-not-inc,420054,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,9562,0,50,United-States,>50K
26,Private,301298,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,<=50K
46,Private,315423,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2042,50,United-States,<=50K
47,Local-gov,265097,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,4386,0,40,United-States,>50K
25,Private,456604,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,404616,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
24,Private,262570,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,176138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
20,Private,232577,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
31,Private,300497,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,<=50K
26,Private,318934,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
27,Local-gov,190330,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
25,Private,213412,Bachelors,13,Never-married,Tech-support,Unmarried,White,Male,0,0,40,United-States,<=50K
45,Private,217953,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Mexico,<=50K
60,Self-emp-not-inc,73091,HS-grad,9,Separated,Other-service,Not-in-family,Black,Male,0,1876,50,United-States,<=50K
43,Self-emp-not-inc,116666,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,35,United-States,>50K
29,Private,298696,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Self-emp-not-inc,75435,HS-grad,9,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,30,United-States,<=50K
33,Self-emp-not-inc,134737,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
40,Federal-gov,118686,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
17,Private,121037,12th,8,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
22,Private,133833,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
30,Self-emp-not-inc,404062,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,15,United-States,>50K
61,Private,111797,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,32,United-States,<=50K
21,Private,143604,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,<=50K
32,Local-gov,210448,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
44,Private,151985,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,24,United-States,>50K
35,Local-gov,182570,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
39,Private,206074,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
32,Private,43403,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,1590,54,United-States,<=50K
44,Private,82601,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,415287,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,1902,40,United-States,>50K
46,Private,233802,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,>50K
62,Private,200922,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,140644,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
26,Private,140446,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K
29,Private,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
39,Private,272950,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
36,Self-emp-inc,176900,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,25,United-States,<=50K
47,Private,172753,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,85,United-States,>50K
51,Federal-gov,140035,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
40,Local-gov,202872,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
60,Private,85995,Masters,14,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,50,South,>50K
53,Private,126386,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
45,Private,22610,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
42,Private,572751,Preschool,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Nicaragua,<=50K
41,Private,115849,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
32,Self-emp-not-inc,115066,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
53,Private,95864,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,England,>50K
42,Private,210525,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,20,United-States,>50K
37,Private,126743,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,53,Mexico,<=50K
52,Private,150393,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
41,Private,150011,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
24,Federal-gov,219519,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
37,Local-gov,215618,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,80,United-States,>50K
57,Private,190997,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
49,Private,37306,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
47,Local-gov,232149,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,<=50K
38,Local-gov,94529,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,3103,0,50,United-States,>50K
41,Self-emp-inc,253060,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,>50K
32,Private,177792,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,48,United-States,>50K
26,Private,137678,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Private,163205,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
43,Private,185057,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,>50K
29,Private,224421,Assoc-voc,11,Married-AF-spouse,Farming-fishing,Husband,White,Male,0,0,44,United-States,>50K
24,Self-emp-not-inc,172047,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
35,Private,40135,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
23,Private,207546,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
48,Self-emp-not-inc,200825,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,>50K
34,Private,195136,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States,>50K
28,State-gov,381789,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,<=50K
59,Private,43221,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,>50K
63,Federal-gov,124244,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
31,Local-gov,50649,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
42,Private,192712,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,25,United-States,<=50K
22,State-gov,62865,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,<=50K
36,Private,181146,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,<=50K
20,Private,275421,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
58,Federal-gov,244830,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,4787,0,40,United-States,>50K
33,Private,709798,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
64,State-gov,111795,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
45,Private,175958,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
18,Private,218889,9th,5,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
28,State-gov,445824,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
42,Private,183241,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
18,Local-gov,152182,10th,6,Never-married,Protective-serv,Own-child,White,Female,0,0,6,United-States,<=50K
38,Local-gov,325538,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,143083,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
37,Private,44780,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Self-emp-not-inc,147258,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
44,Private,116632,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
33,Private,100882,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
59,Private,70720,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,55,United-States,>50K
31,Private,156493,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
70,Self-emp-inc,207938,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K
22,Private,207782,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
43,Private,211518,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
48,Self-emp-not-inc,121424,Bachelors,13,Separated,Tech-support,Not-in-family,White,Male,0,0,50,United-States,<=50K
37,Self-emp-not-inc,188563,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
31,Private,101562,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,>50K
24,Private,140001,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Italy,<=50K
46,Private,203067,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
32,Private,230420,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
50,Self-emp-not-inc,145419,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,>50K
39,Private,209397,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
38,Private,33394,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States,>50K
51,Private,163948,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
30,Local-gov,229716,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
31,Private,91666,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
29,Private,165737,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,1,Japan,<=50K
51,State-gov,250807,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Federal-gov,243233,Some-college,10,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,48,United-States,>50K
48,Private,109832,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K
38,Self-emp-not-inc,245372,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,3137,0,50,United-States,<=50K
34,Private,251521,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
67,Self-emp-not-inc,141085,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
46,Self-emp-not-inc,317253,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,<=50K
26,Private,66638,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
53,Self-emp-inc,135643,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,50,South,<=50K
46,Local-gov,215895,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,111567,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,456618,7th-8th,4,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,El-Salvador,<=50K
33,State-gov,209768,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
18,Private,27620,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
38,Self-emp-inc,179579,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
